  CveAct;Catalogo  ;No Inv ;Año ;Descripción                                   ;    CveAds; NumSerie    ; CveBaja
  15683; I180000004;00432;00 ;PARA COORDINACIONES DE ZONA MARCA 3 COM MODELO: OFFICE CONNECT HUB CON 8 PUERTOS NUMERO DE SERIE: KTKS0159C8;   00000 ;KTKS0159C8  ;   10  ;
  1124; I180000034;00002;91 ;MARCA HEWLETT PACKARD, MODELO LASER JET III, NUMERO DE SERIE: 3126A05781. ACUERDO 9863;   Z11990;3126A05781  ;    0  ;
  1123; I180000034;00003;91 ;MARCA EPSON, MODELO LQ-1170 SERIE: 4161028551 ACUERDO 14077 ACUERDO 14076;   Z11990;4161028551  ;    0  ;
  2292; I180000034;00003;92 ;MARCA ATI, MODELO MT 151/9 PARALELO, NUMERO DE SERIE: SA00205.ACUERDO 5417;   Z11990;SA00205     ;    0  ;
  4107; I180000034;00003;99 ;MARCA ENTEIA, MODELO 180, NUMERO DE SERIE: 12280.;   Z10   ;12280       ;   10  ;
  16114; I180000034;00003;99 ;MARCA ENTEIA, MODELO 180, NUMERO DE SERIE: 12280.ACUERDO 5417;   Z11990;12280       ;    0  ;
  18099; I180000034;00003;99 ;MARCA ENTEIA, MODELO 180, NUMERO DE SERIE: 12280. ACUERDO 5417;   Z11990;12280       ;    0  ;
  2293; I180000034;00004;92 ;MARCA ATI, MODELO MT 151/9 PARALELO, NUMERO DE SERIE: SA00018.ACUERDO 5417;   Z11990;SA00018     ;    0  ;
  4108; I180000034;00004;99 ;MARCA ENTEIA, MODELO 180, NUMERO DE SERIE: 16517.;   00000 ;16517       ;   10  ;
  16115; I180000034;00004;99 ;MARCA ENTEIA, MODELO 180, NUMERO DE SERIE: 16517.ACUERDO 5417;   Z11990;16517       ;    0  ;
  2294; I180000034;00005;92 ;MARCA ATI, MODELO MT 151/9 PARALELO, NUMERO DE SERIE: SA00004.ACUERDO 5417;   Z11990;SA00004     ;    0  ;
  2297; I180000034;00013;91 ;DE MATRIZ, MARCA ATI, MODELO MT230/9E, CARRO DE 15", VELOCIDAD DE IMPRESION DE 360 CPS. NUMERO DE SERIE: UE00230. ACUERDO 9863;   Z11990;UE00230     ;    0  ;
  2521; I180000034;00019;93 ;MARCA EPSON, MODELO DFX-5000, MATRIZ DE IMPACTO DE 9 AGUJAS, VELOCIDAD DE IMPRESION DE 533 CPS. NUMERO DE SERIE: 0G20A35292.  ACUERDO 9863;   Z11990;0G20A35292  ;    0  ;
  3385; I180000034;00082;94 ;DE MATRIZ MARCA DATA PRODUCTS, MODELO 3069 ,VELOCIDAD 300 CPS ANCHO 15" FUENTES RESIDENTES BUFFER 16 KB EXPANDIBLE A 24 KB, NUMERO DE SERIE: 940092.  ACUERDO 9863;   Z11990;940092      ;    0  ;
  3383; I180000034;00083;94 ;DE MATRIZ MARCA DATA PRODUCTS, MODELO 3069, VELOCIDAD 300 CPS ANCHO 15" FUENTES RESIDENTES BUFFER 16 KB EXPANDIBLE A 24 KB, NUMERO DE SERIE: 940055.;   11922 ;940055      ;    0  ;
  3382; I180000034;00101;94 ;DE MATRIZ MARCA DATA PRODUCTS, MODELO 3069, VELOCIDAD 300 CPS ANCHO 15" FUENTES RESIDENTES BUFFER 16 KB EXPANDIBLE A 24 KB, NUMERO DE SERIE: 940006. ACUERDO 9863;   Z11990;940006      ;    0  ;
  3384; I180000034;00103;94 ;DE MATRIZ MARCA DATA PRODUCTS, MODELO 3069, VELOCIDAD 300 CPS ANCHO 15" FUENTES RESIDENTES BUFFER 16 KB EXPANDIBLE A 24 KB, NUMERO DE SERIE: 940077.   ACUERDO 9863;   Z11990;940077      ;    0  ;
  3371; I180000034;00132;94 ;LASER MARCA HEWLETT PACKARD, MODELO HP LASSER JET 4P PAGINAS/MIN. IMPRESION LASSER, 2MB DE MEMORIA EXPANDIBLE A 28 MB, NUMERO DE SERIE: USCB129593.;   11910 ;USCB129593  ;    0  ;
  2834; I180000034;00155;94 ;MARCA HEWLETT PACKARD, MODELO JET 4P, NUMERO DE SERIE: USCB-129556.;   11110 ;USCB-129556 ;    0  ;
  2871; I180000034;00156;94 ;MARCA HP, MODELO LASSER JET 4V DE 16 PPM, NUMERO DE SERIE: JPCF000262. ACUERDO 9863;   Z11990;PCF000262   ;    0  ;
  688; I180000038;00001;85 ;DE PUNTO MARCA ATI MODELO Z-1500 SIN NUMERO DE SERIE   BAJA 2517;   Z11990;   BAJA 2517;    2  ;
  686; I180000038;00002;85 ;DE PUNTO MARCA DATA PRODUCTS MODELO M-200 SIN NUMERO   DE SERIE BAJA 2517;   Z11990;?           ;    2  ;
  687; I180000038;00003;85 ;DE PUNTO MARCA DATAPRODUCTS MODELO M-200 SIN  NUMERO  DE SERIE;   Z11990;?           ;    0  ;
  3895; I180000038;00019;98 ;DE IMPACTO MARCA EPSON, MODELO LQ 2170 VELOCIDAD 396 CPS MINIMO DRAFT A ALTA VELOCIDAD A PASO DE 12 AGUJAS, 24 MINIMO CARRO 15", NUMERO DE SERIE: 2NJYO65134.;   11702 ;2NJYO65134  ;    0  ;
  3896; I180000038;00020;98 ;DE IMPACTO MARCA EPSON, MODELO LQ 2170 VELOCIDAD 396 CPS MINIMO DRAFT A ALTA VELOCIDAD A PASO DE 12 AGUJAS, 24 MINIMO CARRO 15", NUMERO DE SERIE: 2NJY065182.;   11850 ;2NJY065182  ;    0  ;
  3897; I180000038;00021;98 ;DE IMPACTO MARCA EPSON, MODELO LQ 2170 VELOCIDAD 396 CPS MINIMO DRAFT A ALTA VELOCIDAD A PASO DE 12 AGUJAS, 24 MINIMO CARRO 15", NUMERO DE SERIE: 2NJY068609.;   11850 ;2NJY068609  ;    0  ;
  17231; I180000038;00027;07 ;MARCA LEKMARK, MODELO 2481, NUMERO DE SERIE: 8B 16217.;   11704 ;8B 16217    ;    0  ;
  17232; I180000038;00028;07 ;MARCA LEKMARK, MODELO 2481, NUMERO DE SERIE: 8B 16224.;   11705 ;8B 16224    ;    0  ;
  17229; I180000038;00029;07 ;MARCA LEKMARK, MODELO 2481, NUMERO DE SERIE: 8B 16220.;   11702 ;8B 16220    ;    0  ;
  17233; I180000038;00030;07 ;MARCA LEKMARK, MODELO 2481, NUMERO DE SERIE: 8B 16273.;   11707 ;8B 16273    ;    0  ;
  17230; I180000038;00031;07 ;MARCA LEKMARK, MODELO 2481, NUMERO DE SERIE: 8B 16253.;   11703 ;8B 16253    ;    0  ;
  17235; I180000038;00032;07 ;MARCA LEKMARK, MODELO 2481, NUMERO DE SERIE: 8B 16223.;   11712 ;8B 16223    ;    0  ;
  17236; I180000038;00033;07 ;MARCA LEKMARK, MODELO 2481, NUMERO DE SERIE: 8B 16271.;   11713 ;8B 16271    ;    0  ;
  17237; I180000038;00034;07 ;MARCA LEKMARK, MODELO 2481, NUMERO DE SERIE: 8B 16281.;   11714 ;8B 16281    ;    0  ;
  17234; I180000038;00035;07 ;MARCA LEKMARK, MODELO 2481, NUMERO DE SERIE: 8B 16268.;   11711 ;8B 16268    ;    0  ;
  4554; I180000038;00062;00 ;DE PUNTO DE IMPACTO, VELOCIDAD 480 A 500 CPS MARCA EPSON, MODELO FX-2180, NUMERO DE SERIE: A34YO13757.;   11920 ;A34YO13757  ;    0  ;
  4555; I180000038;00063;00 ;DE PUNTO DE IMPACTO, VELOCIDAD 480 A 500 CPS MARCA EPSON, MODELO FX-2180, NUMERO DE SERIE: A34YO14026.;   11710 ;A34YO14026  ;    0  ;
